Name,CP,ITSE,HCT,SAMT,BPET,OSIS,IST
Research Methods,3,,1,,,,
Human-Centered Computing,3,,1,,,,
Field Research Methods in HCI,3,,1,,,,
Foundations of Human-Computer Interaction Research Methods,6,,1,,,,
Interaction Design Methods,3,1,1,,,,
Semantic Multimedia,6,,,,1,1,1
Dynamic Pricing on Online Marketplaces,3,1,,,1,1,
Machine Intelligence with Deep Learning,6,1,,,,1,1
TUK 1,3,1,,1,1,1,
FIT,6,1,1,1,,,
HCI Project Seminar,6,1,1,1,,,
Trends in BPM,3,1,,1,1,,
Competitive  Problem Solving with Deep Learning,6,1,,,,1,1
Text Mining,6,1,,,,1,1
